ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
64,Sat Dec 13 15:02:47 CET 2025,Sat Dec 13 15:02:47 CET 2025,GET,http://129.241.150.69/2435254681524997697,404,Not Found,30,170,13
66,Sat Dec 13 15:02:47 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/PSIA/4738868623666066657,404,Not Found,24,170,13
68,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/PSIA/YG/8997845015328963695,404,Not Found,26,170,13
70,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/PSIA/YG/system/6821010814251778305,404,Not Found,25,170,13
72,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/css/7667669421552542589,404,Not Found,23,170,13
74,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/images/6485266326604084396,404,Not Found,25,170,13
76,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/images/login/7929266644758622684,404,Not Found,25,170,13
78,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/script/2834699348033615284,404,Not Found,25,170,13
80,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/xml/724148257134613198,404,Not Found,25,170,13
82,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/xml/en/3964510267157367394,404,Not Found,24,170,13
84,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/WEB-INF/web.xml,404,Not Found,25,170,13
85,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/?-s,200,OK,26,164,2138
86,Sat Dec 13 15:02:48 CET 2025,Sat Dec 13 15:02:48 CET 2025,GET,http://129.241.150.69/WEB-INF/applicationContext.xml,404,Not Found,24,170,13
