1: 0x7ffc306382e0
2: (nil)
3: (nil)
4: 0xd
5: (nil)
6: 0x7fff72745218
7: 0x1726cc698
8: 0x3c00000006
9: (nil)
10: 0xa7024303125
11: (nil)
12: (nil)
13: (nil)
14: (nil)
15: (nil)
16: (nil)
17: 0x77157bd2aaf0
18: 0x7ffeedbc47b0
19: 0x87dd051575299300
20: 0x7ffd578eec60
21: 0x72b4f58e81ca
22: 0x7ffe5265fd30
23: 0x7ffe8fd25d58
24: 0x1d3f7f040
25: 0x55fd25607243
26: 0x7ffe80c07b38
27: 0x29ffb436bfdc195d
28: 0x1
29: (nil)
30: 0x5f797e759dd8
31: 0x7a017b7ba000
32: 0xbf3a2d3133705509
33: 0x7d17f21b45df1703
34: 0x7ffd00000000
35: (nil)
36: (nil)
37: 0x1
38: 0x7ffc275b5b30
39: 0x2d432fdfbcc03100
40: 0x7fffa1329370
41: 0x7b405b26628b
42: 0x7ffebbb60028
43: 0x64cc3ea79dd8
44: 0x7fff31f4b978
45: 0x59fe6e4eb243
46: (nil)
47: (nil)
48: 0x5fcf97d57140
49: 0x7ffe3df7d640
50: (nil)
51: (nil)
52: (nil)
53: 0x62744affb165
54: 0x7ffe219d0578
55: 0x38
56: 0x1
57: 0x7ffea7809ee1
58: (nil)
59: 0x7ffecced1ef0
60: 0x7ffd9e136f32
61: 0x7ffd2a12bf48
62: 0x7ffc1da7ef57
63: 0x7ffc7da85f67
64: 0x7ffc4d2eff74
65: 0x7ffc86f5ef8a
66: 0x7fffc7fa3fa6
67: 0x7ffc48c1bfba
68: 0x7ffd132f6fd4
69: (nil)
70: 0x21
